"category","sales","ship_date","product_id","city","profit","state","zipcode","row_id","region","ship_mode","order_id","segment","sub_category","order_date","quantity","discount","country","customer_name","product_name","customer_id"
"Furniture","71.372","2017-07-18","FUR-CH-10002774","Philadelphia","-1.0196","Pennsylvania","19140","24","East","Second Class","US-2017-156909","Consumer","Chairs","2017-07-16","2","","United States","Sandra Flanagan","Global Deluxe Stacking Chair, Gray","SF-20065"
"Furniture","1044.63","2015-09-30","FUR-TA-10000577","Orem","240.2649","Utah","84057","25","West","Standard Class","CA-2015-106320","Consumer","Tables","2015-09-25","3","0","United States","Emily Burns","Bretford CR4500 Series Slim Rectangular Table","EB-13870"
"Office Supplies","11.648","2016-01-20","OFF-BI-10001634","Los Angeles","4.2224","California","90049","26","West","Second Class","CA-2016-121755","Consumer","Binders","2016-01-16","2","","United States","Eric Hoffmann","Wilson Jones Active Use Binders","EH-13945"
"Technology","90.57","2016-01-20","TEC-AC-10003027","Los Angeles","11.7741","California","90049","27","West","Second Class","CA-2016-121755","Consumer","Accessories","2016-01-16","3","0","United States","Eric Hoffmann","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","EH-13945"
"Furniture","3083.43","2015-09-21","FUR-BO-10004834","Philadelphia","-1665.0522","Pennsylvania","19140","28","East","Standard Class","US-2015-150630","Consumer","Bookcases","2015-09-17","7","","United States","Tracy Blumstein","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","TB-21520"
"Office Supplies","9.618","2015-09-21","OFF-BI-10000474","Philadelphia","-7.0532","Pennsylvania","19140","29","East","Standard Class","US-2015-150630","Consumer","Binders","2015-09-17","2","","United States","Tracy Blumstein","Avery Recycled Flexi-View Covers for Binding Systems","TB-21520"
"Furniture","124.2","2015-09-21","FUR-FU-10004848","Philadelphia","15.525","Pennsylvania","19140","30","East","Standard Class","US-2015-150630","Consumer","Furnishings","2015-09-17","3","","United States","Tracy Blumstein","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","TB-21520"
"Office Supplies","3.264","2015-09-21","OFF-EN-10001509","Philadelphia","1.1016","Pennsylvania","19140","31","East","Standard Class","US-2015-150630","Consumer","Envelopes","2015-09-17","2","","United States","Tracy Blumstein","Poly String Tie Envelopes","TB-21520"
"Office Supplies","86.304","2015-09-21","OFF-AR-10004042","Philadelphia","9.7092","Pennsylvania","19140","32","East","Standard Class","US-2015-150630","Consumer","Art","2015-09-17","6","","United States","Tracy Blumstein","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","TB-21520"
"Office Supplies","6.858","2015-09-21","OFF-BI-10001525","Philadelphia","-5.715","Pennsylvania","19140","33","East","Standard Class","US-2015-150630","Consumer","Binders","2015-09-17","6","","United States","Tracy Blumstein","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","TB-21520"
"Office Supplies","15.76","2015-09-21","OFF-AR-10001683","Philadelphia","3.546","Pennsylvania","19140","34","East","Standard Class","US-2015-150630","Consumer","Art","2015-09-17","2","","United States","Tracy Blumstein","Lumber Crayons","TB-21520"
"Office Supplies","29.472","2017-10-23","OFF-PA-10000249","Houston","9.9468","Texas","77095","35","Central","Second Class","CA-2017-107727","Home Office","Paper","2017-10-19","3","","United States","Matt Abelman","Easy-staple paper","MA-17560"
"Technology","1097.544","2016-12-10","TEC-PH-10004977","Richardson","123.4737","Texas","75080","36","Central","First Class","CA-2016-117590","Corporate","Phones","2016-12-08","7","","United States","Gene Hale","GE 30524EE4","GH-14485"
"Furniture","190.92","2016-12-10","FUR-FU-10003664","Richardson","-147.963","Texas","75080","37","Central","First Class","CA-2016-117590","Corporate","Furnishings","2016-12-08","5","","United States","Gene Hale","Electrix Architect's Clamp-On Swing Arm Lamp, Black","GH-14485"
"Office Supplies","113.328","2015-12-31","OFF-EN-10002986","Houston","35.415","Texas","77041","38","Central","Standard Class","CA-2015-117415","Home Office","Envelopes","2015-12-27","9","","United States","Steve Nguyen","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","SN-20710"
"Furniture","532.3992","2015-12-31","FUR-BO-10002545","Houston","-46.9764","Texas","77041","39","Central","Standard Class","CA-2015-117415","Home Office","Bookcases","2015-12-27","3","","United States","Steve Nguyen","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","SN-20710"
"Furniture","212.058","2015-12-31","FUR-CH-10004218","Houston","-15.147","Texas","77041","40","Central","Standard Class","CA-2015-117415","Home Office","Chairs","2015-12-27","3","","United States","Steve Nguyen","Global Fabric Manager's Chair, Dark Gray","SN-20710"
"Technology","371.168","2015-12-31","TEC-PH-10000486","Houston","41.7564","Texas","77041","41","Central","Standard Class","CA-2015-117415","Home Office","Phones","2015-12-27","4","","United States","Steve Nguyen","Plantronics HL10 Handset Lifter","SN-20710"
"Technology","147.168","2017-09-15","TEC-PH-10004093","Naperville","16.5564","Illinois","60540","42","Central","Standard Class","CA-2017-120999","Corporate","Phones","2017-09-10","4","","United States","Linda Cazamias","Panasonic Kx-TS550","LC-16930"
"Office Supplies","77.88","2016-07-22","OFF-ST-10003479","Los Angeles","3.894","California","90049","43","West","Standard Class","CA-2016-101343","Corporate","Storage","2016-07-17","2","0","United States","Ruben Ausman","Eldon Base for stackable storage shelf, platinum","RA-19885"
"Office Supplies","95.616","2017-09-23","OFF-ST-10003282","Melbourne","9.5616","Florida","32935","44","South","Standard Class","CA-2017-139619","Corporate","Storage","2017-09-19","2","","United States","Erin Smith","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","ES-14080"
"Technology","45.98","2016-03-13","TEC-AC-10000171","Eagan","19.7714","Minnesota","55122","45","Central","First Class","CA-2016-118255","Corporate","Accessories","2016-03-11","2","0","United States","Odella Nelson","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","ON-18715"
"Office Supplies","17.46","2016-03-13","OFF-BI-10003291","Eagan","8.2062","Minnesota","55122","46","Central","First Class","CA-2016-118255","Corporate","Binders","2016-03-11","2","0","United States","Odella Nelson","Wilson Jones Leather-Like Binders with DublLock Round Rings","ON-18715"
"Office Supplies","211.96","2014-10-25","OFF-ST-10001713","Westland","8.4784","Michigan","48185","47","Central","Second Class","CA-2014-146703","Consumer","Storage","2014-10-20","4","0","United States","Patrick O'Donnell","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","PO-18865"
"Technology","45.0","2016-06-25","TEC-AC-10002167","Dover","4.95","Delaware","19901","48","East","Standard Class","CA-2016-169194","Consumer","Accessories","2016-06-20","3","0","United States","Lena Hernandez","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","LH-16900"
"Technology","21.8","2016-06-25","TEC-PH-10003988","Dover","6.104","Delaware","19901","49","East","Standard Class","CA-2016-169194","Consumer","Phones","2016-06-20","2","0","United States","Lena Hernandez","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","LH-16900"
"Office Supplies","38.22","2015-04-22","OFF-BI-10004410","New Albany","17.9634","Indiana","47150","50","Central","Standard Class","CA-2015-115742","Consumer","Binders","2015-04-18","6","0","United States","Darren Powers","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","DP-13000"
"Office Supplies","75.18","2015-04-22","OFF-LA-10002762","New Albany","35.3346","Indiana","47150","51","Central","Standard Class","CA-2015-115742","Consumer","Labels","2015-04-18","6","0","United States","Darren Powers","Avery 485","DP-13000"
"Furniture","6.16","2015-04-22","FUR-FU-10001706","New Albany","2.9568","Indiana","47150","52","Central","Standard Class","CA-2015-115742","Consumer","Furnishings","2015-04-18","2","0","United States","Darren Powers","Longer-Life Soft White Bulbs","DP-13000"
"Furniture","89.99","2015-04-22","FUR-CH-10003061","New Albany","17.0981","Indiana","47150","53","Central","Standard Class","CA-2015-115742","Consumer","Chairs","2015-04-18","1","0","United States","Darren Powers","Global Leather Task Chair, Black","DP-13000"
"Office Supplies","15.26","2016-12-17","OFF-FA-10000304","New York City","6.2566","New York","10024","54","East","Standard Class","CA-2016-105816","Corporate","Fasteners","2016-12-11","7","0","United States","Janet Molinari","Advantus Push Pins","JM-15265"
"Technology","1029.95","2016-12-17","TEC-PH-10002447","New York City","298.6855","New York","10024","55","East","Standard Class","CA-2016-105816","Corporate","Phones","2016-12-11","5","0","United States","Janet Molinari","AT&T CL83451 4-Handset Telephone","JM-15265"
"Office Supplies","208.56","2016-06-18","OFF-ST-10000604","Troy","52.14","New York","12180","56","East","First Class","CA-2016-111682","Consumer","Storage","2016-06-17","6","0","United States","Ted Butterfield","Home/Office Personal File Carts","TB-21055"
"Office Supplies","32.4","2016-06-18","OFF-PA-10001569","Troy","15.552","New York","12180","57","East","First Class","CA-2016-111682","Consumer","Paper","2016-06-17","5","0","United States","Ted Butterfield","Xerox 232","TB-21055"
"Furniture","319.41","2016-06-18","FUR-CH-10003968","Troy","7.098","New York","12180","58","East","First Class","CA-2016-111682","Consumer","Chairs","2016-06-17","5","","United States","Ted Butterfield","Novimex Turbo Task Chair","TB-21055"
"Office Supplies","14.56","2016-06-18","OFF-PA-10000587","Troy","6.9888","New York","12180","59","East","First Class","CA-2016-111682","Consumer","Paper","2016-06-17","2","0","United States","Ted Butterfield","Array Parchment Paper, Assorted Colors","TB-21055"
"Technology","30.0","2016-06-18","TEC-AC-10002167","Troy","3.3","New York","12180","60","East","First Class","CA-2016-111682","Consumer","Accessories","2016-06-17","2","0","United States","Ted Butterfield","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","TB-21055"
"Office Supplies","48.48","2016-06-18","OFF-BI-10001460","Troy","16.362","New York","12180","61","East","First Class","CA-2016-111682","Consumer","Binders","2016-06-17","4","","United States","Ted Butterfield","Plastic Binding Combs","TB-21055"
"Office Supplies","1.68","2016-06-18","OFF-AR-10001868","Troy","0.84","New York","12180","62","East","First Class","CA-2016-111682","Consumer","Art","2016-06-17","1","0","United States","Ted Butterfield","Prang Dustless Chalk Sticks","TB-21055"
"Technology","13.98","2015-11-30","TEC-AC-10004633","Los Angeles","6.1512","California","90004","63","West","Standard Class","CA-2015-135545","Consumer","Accessories","2015-11-24","2","0","United States","Kunst Miller","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","KM-16720"
"Office Supplies","25.824","2015-11-30","OFF-BI-10001078","Los Angeles","9.3612","California","90004","64","West","Standard Class","CA-2015-135545","Consumer","Binders","2015-11-24","6","","United States","Kunst Miller","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","KM-16720"
"Office Supplies","146.73","2015-11-30","OFF-PA-10003892","Los Angeles","68.9631","California","90004","65","West","Standard Class","CA-2015-135545","Consumer","Paper","2015-11-24","3","0","United States","Kunst Miller","Xerox 1943","KM-16720"
"Furniture","79.76","2015-11-30","FUR-FU-10000397","Los Angeles","22.3328","California","90004","66","West","Standard Class","CA-2015-135545","Consumer","Furnishings","2015-11-24","4","0","United States","Kunst Miller","Luxo Economy Swing Arm Lamp","KM-16720"
"Furniture","213.115","2015-05-05","FUR-CH-10001146","Chicago","-15.2225","Illinois","60610","67","Central","Standard Class","US-2015-164175","Home Office","Chairs","2015-04-30","5","","United States","Paul Stevenson","Global Value Mid-Back Manager's Chair, Gray","PS-18970"
"Office Supplies","1113.024","2014-12-10","OFF-AR-10002671","Gilbert","111.3024","Arizona","85234","68","West","Standard Class","CA-2014-106376","Corporate","Art","2014-12-05","8","","United States","Brendan Sweed","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","BS-11590"
"Technology","167.968","2014-12-10","TEC-PH-10002726","Gilbert","62.988","Arizona","85234","69","West","Standard Class","CA-2014-106376","Corporate","Phones","2014-12-05","4","","United States","Brendan Sweed","netTALK DUO VoIP Telephone Service","BS-11590"
"Office Supplies","75.88","2016-06-06","OFF-PA-10000482","Springfield","35.6636","Virginia","22153","70","South","First Class","CA-2016-119823","Consumer","Paper","2016-06-04","2","0","United States","Karen Daniels","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","KD-16270"
"Office Supplies","4.616","2016-09-23","OFF-BI-10004654","New York City","1.731","New York","10009","71","East","Standard Class","CA-2016-106075","Consumer","Binders","2016-09-18","1","","United States","Henry MacAllister","Avery Binding System Hidden Tab Executive Style Index Sets","HM-14980"
"Office Supplies","19.05","2017-09-17","OFF-PA-10004675","Jackson","8.763","Michigan","49201","72","Central","Second Class","CA-2017-114440","Consumer","Paper","2017-09-14","3","0","United States","Tracy Blumstein","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","TB-21520"
"Furniture","831.936","2015-05-02","FUR-CH-10000513","Memphis","-114.3912","Tennessee","38109","73","South","Standard Class","US-2015-134026","Consumer","Chairs","2015-04-26","8","","United States","Joel Eaton","High-Back Leather Manager's Chair","JE-15745"
"Furniture","97.04","2015-05-02","FUR-FU-10003708","Memphis","1.213","Tennessee","38109","74","South","Standard Class","US-2015-134026","Consumer","Furnishings","2015-04-26","2","","United States","Joel Eaton","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","JE-15745"
"Office Supplies","72.784","2015-05-02","OFF-ST-10004123","Memphis","-18.196","Tennessee","38109","75","South","Standard Class","US-2015-134026","Consumer","Storage","2015-04-26","1","","United States","Joel Eaton","Safco Industrial Wire Shelving System","JE-15745"
"Office Supplies","1.248","2017-12-11","OFF-BI-10004182","Houston","-1.9344","Texas","77041","76","Central","First Class","US-2017-118038","Corporate","Binders","2017-12-09","3","","United States","Ken Brennan","Economy Binders","KB-16600"
"Furniture","9.708","2017-12-11","FUR-FU-10000260","Houston","-5.8248","Texas","77041","77","Central","First Class","US-2017-118038","Corporate","Furnishings","2017-12-09","3","","United States","Ken Brennan","6"" Cubicle Wall Clock, Black","KB-16600"
"Office Supplies","27.24","2017-12-11","OFF-ST-10000615","Houston","2.724","Texas","77041","78","Central","First Class","US-2017-118038","Corporate","Storage","2017-12-09","3","","United States","Ken Brennan","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","KB-16600"
"Furniture","19.3","2014-12-01","FUR-FU-10003194","Houston","-14.475","Texas","77070","79","Central","Second Class","US-2014-147606","Consumer","Furnishings","2014-11-26","5","","United States","Joel Eaton","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","JE-15745"
"Office Supplies","208.16","2016-06-15","OFF-AP-10002118","Decatur","56.2032","Alabama","35601","80","South","First Class","CA-2016-127208","Corporate","Appliances","2016-06-12","1","0","United States","Stewart Carmichael","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","SC-20770"
"Office Supplies","16.74","2016-06-15","OFF-BI-10002309","Decatur","8.0352","Alabama","35601","81","South","First Class","CA-2016-127208","Corporate","Binders","2016-06-12","3","0","United States","Stewart Carmichael","Avery Heavy-Duty EZD  Binder With Locking Rings","SC-20770"
"Office Supplies","14.9","2014-10-16","OFF-AR-10002053","San Francisco","4.172","California","94122","82","West","Standard Class","CA-2014-139451","Consumer","Art","2014-10-12","5","0","United States","Duane Noonan","Premium Writing Pencils, Soft, #2 by Central Association for the Blind","DN-13690"
"Office Supplies","21.39","2014-10-16","OFF-ST-10002370","San Francisco","6.2031","California","94122","83","West","Standard Class","CA-2014-139451","Consumer","Storage","2014-10-12","1","0","United States","Duane Noonan","Sortfiler Multipurpose Personal File Organizer, Black","DN-13690"
"Office Supplies","200.984","2015-09-08","OFF-EN-10000927","Durham","62.8075","North Carolina","27707","84","South","Standard Class","CA-2015-149734","Corporate","Envelopes","2015-09-03","7","","United States","Julie Creighton","Jet-Pak Recycled Peel 'N' Seal Padded Mailers","JC-16105"
"Office Supplies","230.376","2017-11-16","OFF-ST-10003656","Chicago","-48.9549","Illinois","60623","85","Central","First Class","US-2017-119662","Home Office","Storage","2017-11-13","3","","United States","Christopher Schild","Safco Industrial Wire Shelving","CS-12400"
"Furniture","301.96","2017-05-30","FUR-CH-10000863","Columbia","33.2156","South Carolina","29203","86","South","Second Class","CA-2017-140088","Consumer","Chairs","2017-05-28","2","0","United States","Patrick O'Donnell","Novimex Swivel Fabric Task Chair","PO-18865"
"Technology","19.99","2017-11-02","TEC-AC-10001998","Rochester","6.7966","Minnesota","55901","87","Central","Standard Class","CA-2017-155558","Consumer","Accessories","2017-10-26","1","0","United States","Paul Gonzalez","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","PG-18895"
"Office Supplies","6.16","2017-11-02","OFF-LA-10000134","Rochester","2.9568","Minnesota","55901","88","Central","Standard Class","CA-2017-155558","Consumer","Labels","2017-10-26","2","0","United States","Paul Gonzalez","Avery 511","PG-18895"
"Office Supplies","158.368","2016-04-10","OFF-ST-10003442","Houston","13.8572","Texas","77095","89","Central","Second Class","CA-2016-159695","Home Office","Storage","2016-04-05","7","","United States","Gary Mitchum","Eldon Portable Mobile Manager","GM-14455"
"Office Supplies","20.1","2016-09-22","OFF-AR-10004930","Los Angeles","6.633","California","90036","90","West","Standard Class","CA-2016-109806","Corporate","Art","2016-09-17","3","0","United States","Jim Sink","Turquoise Lead Holder with Pocket Clip","JS-15685"
"Technology","73.584","2016-09-22","TEC-PH-10004093","Los Angeles","8.2782","California","90036","91","West","Standard Class","CA-2016-109806","Corporate","Phones","2016-09-17","2","","United States","Jim Sink","Panasonic Kx-TS550","JS-15685"
"Office Supplies","6.48","2016-09-22","OFF-PA-10000304","Los Angeles","3.1104","California","90036","92","West","Standard Class","CA-2016-109806","Corporate","Paper","2016-09-17","1","0","United States","Jim Sink","Xerox 1995","JS-15685"
"Office Supplies","12.96","2015-02-05","OFF-PA-10003177","Minneapolis","6.2208","Minnesota","55407","93","Central","Second Class","CA-2015-149587","Consumer","Paper","2015-01-31","2","0","United States","Karl Braun","Xerox 1999","KB-16315"
"Furniture","53.34","2015-02-05","FUR-FU-10003799","Minneapolis","16.5354","Minnesota","55407","94","Central","Second Class","CA-2015-149587","Consumer","Furnishings","2015-01-31","3","0","United States","Karl Braun","Seth Thomas 13 1/2"" Wall Clock","KB-16315"
"Office Supplies","32.96","2015-02-05","OFF-BI-10002852","Minneapolis","16.1504","Minnesota","55407","95","Central","Second Class","CA-2015-149587","Consumer","Binders","2015-01-31","2","0","United States","Karl Braun","Ibico Standard Transparent Covers","KB-16315"
"Office Supplies","5.682","2017-11-12","OFF-BI-10004738","Portland","-3.788","Oregon","97206","96","West","Standard Class","US-2017-109484","Home Office","Binders","2017-11-06","1","","United States","Roger Barcio","Flexible Leather- Look Classic Collection Ring Binder","RB-19705"
"Furniture","96.53","2017-11-11","FUR-FU-10000629","New York City","40.5426","New York","10009","97","East","Second Class","CA-2017-161018","Home Office","Furnishings","2017-11-09","7","0","United States","Parhena Norris","9-3/4 Diameter Round Wall Clock","PN-18775"
"Office Supplies","51.312","2017-06-20","OFF-BI-10001721","San Francisco","17.9592","California","94122","98","West","First Class","CA-2017-157833","Consumer","Binders","2017-06-17","3","","United States","Katherine Ducich","Trimflex Flexible Post Binders","KD-16345"
"Office Supplies","77.88","2016-09-11","OFF-AP-10000358","Saint Paul","22.5852","Minnesota","55106","99","Central","Standard Class","CA-2016-149223","Corporate","Appliances","2016-09-06","6","0","United States","Elpida Rittenbach","Fellowes Basic Home/Office Series Surge Protectors","ER-13855"
"Office Supplies","64.624","2016-09-02","OFF-PA-10003256","Chicago","22.6184","Illinois","60610","100","Central","Standard Class","CA-2016-158568","Home Office","Paper","2016-08-29","7","","United States","Rick Bensley","Avery Personal Creations Heavyweight Cards","RB-19465"
"Technology","95.976","2016-09-02","TEC-AC-10001767","Chicago","-10.7973","Illinois","60610","101","Central","Standard Class","CA-2016-158568","Home Office","Accessories","2016-08-29","3","","United States","Rick Bensley","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","RB-19465"
"Office Supplies","1.788","2016-09-02","OFF-BI-10002609","Chicago","-3.0396","Illinois","60610","102","Central","Standard Class","CA-2016-158568","Home Office","Binders","2016-08-29","3","","United States","Rick Bensley","Avery Hidden Tab Dividers for Binding Systems","RB-19465"
"Office Supplies","23.92","2016-12-04","OFF-PA-10004040","Rochester","11.7208","Minnesota","55901","103","Central","Second Class","CA-2016-129903","Consumer","Paper","2016-12-01","4","0","United States","Gary Zandusky","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","GZ-14470"
"Technology","238.896","2015-11-17","TEC-AC-10001552","Aurora","-26.8758","Colorado","80013","104","West","Standard Class","US-2015-156867","Consumer","Accessories","2015-11-13","6","","United States","Lena Cacioppo","Logitech K350 2.4Ghz Wireless Keyboard","LC-16870"
"Furniture","102.36","2015-11-17","FUR-FU-10004006","Aurora","-3.8385","Colorado","80013","105","West","Standard Class","US-2015-156867","Consumer","Furnishings","2015-11-13","3","","United States","Lena Cacioppo","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","LC-16870"
"Office Supplies","36.882","2015-11-17","OFF-BI-10002794","Aurora","-25.8174","Colorado","80013","106","West","Standard Class","US-2015-156867","Consumer","Binders","2015-11-13","3","","United States","Lena Cacioppo","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","LC-16870"
"Technology","74.112","2017-11-28","TEC-AC-10003499","Charlotte","17.6016","North Carolina","28205","107","South","Standard Class","CA-2017-119004","Consumer","Accessories","2017-11-23","8","","United States","Janet Martin","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive","JM-15250"
"Technology","27.992","2017-11-28","TEC-PH-10002844","Charlotte","2.0994","North Carolina","28205","108","South","Standard Class","CA-2017-119004","Consumer","Phones","2017-11-23","1","","United States","Janet Martin","Speck Products Candyshell Flip Case","JM-15250"
